Score,Response
3.00,"Wave arms in big circles, run down side lines, and move from side to side while keeping a wide stance."
3.00,"Run , walk or jog in a zig zag pattern or stop and go, stop and go. I could move using some football schemes, button hook, post in and out down and out ."
3.00,"I could move using some football schemes, button hook, post in and out down an d out ."
3.00,"Run , walk or jog in a zig zag pattern or stop and go, stop and go."
2.00,Use portable basketball standards and soccer goals.
1.00,
3.00,Spread out.
3.00,Use fakes
4.00,Spread out and use fakes.
3.00,Uses fakes
3.00,Run down side lines. 
3.00,Stay away from others.
3.00,Give and go.
3.00,Post in and out.
3.00,Post down and out
4.00,Spead out and give and go
4.00,Spread out and post in and out
4.00,Spread out and stop and go
4.00,Run away from the ball and hope the person guarding me follows. Go to the sidelines.
3.00,Run away from the ball and hope the person guarding me follows.
3.00,Go to the sidelines
3.00,Cut/pass quickly and give and go.
4.00,Cut/pass quick and spread out.
3.00,Uses variety of passes and fakes
2.00,Uses variety of passes and direction
3.00,Use pivots and direction
3.00,Vary pacing and direction
3.00,Change pathway and pivot
3.00,Change pathway and speed
3.00,Change pathway and pacing
4.00,Use pivots and direction and spread out
4.00,Vary pacing and direction and spread out
4.00,Change pathway and pivot ad spread out
4.00,Change pathway and speed and spread out
4.00,Change pathway and pacing and spread out'
2.00,Cut off pass
2.00,Move to the ball
2.00,Move toward the ball
2.00,Move closer to player with the ball
2.00,Close up space
2.00,Maintain the same speed
1.00,
1.00,
1.00,
1.00,
1.00,
2.00,Stay together
2.00,Run
2.00,Move to the ball
2.00,Move to the ball
2.00,Close up space
2.00,Closes up space
2.00,Cut off pass
2.00,Open space is a place for me to move.
2.00,Open space is a place for me to move.
2.00,Close up space
2.00,Move together
2.00,Stay together
2.00,Stop
2.00,Stop
2.00,Don't move
3.00,Spread out
3.00,Vary pathways
3.00,Vary speed
3.00,Vary pacing
3.00,Vary direction
3.00,Get far apart
3.00,Get far apart and run
3.00,Get far apart and sprint
3.00,Get far apart 
3.00,Spread out
3.00,Get apart
3.00,Spread
3.00,Move apart
3.00,Move apart
3.00,Move apart
3.00,Give and go
3.00,Keep apart
3.00,Keep apart
3.00,Stay apart
3.00,Stay apart
4.00,Get far apart and fake.
4.00,Spread out and fake
4.00,Spread out and pivot
4.00,Spread out and give and go
4.00,Spread out and vary pathways
4.00,Spread out and vary speed
4.00,Spread out and vary pacing
4.00,Spread out and vary direction
4.00,Get far apart and fake.
4.00,Get far apart and pivot.
4.00,Get far apart and give and go
4.00,Get far apart and vary pathways.
4.00,Get far apart and vary speed.
4.00,Get far apart and vary pacing.
4.00,Get far apart and vary direction.
4.00,Move apart and fake.
4.00,Move apart and pivot
4.00,Move apart and vary pathways
4.00,Move apart and give and go
5.00,Get far apart and fake. Use pivot.
5.00,Get far apart and fake. Vary speeds.
5.00,Get far apart and fake. Use varying pathways.
5.00,Get far apart and fake. Use pivot.
5.00,Fake and spread out. Vary direction.
5.00,Fake and spread out. Use pivots.
5.00,Fake and spread out. Use various speeds.
5.00,Fake and spread out. Use pacing.
5.00,Fake and spread out. Vary speed
5.00,Fake and spread out. Vary pathways
5.00,Fake and spread out. Pivots
5.00,Fake and get far apart. Use give and go.
5.00,Fake and get far apart.Vary directions
5.00,Fake and get far apart. Vary speed
5.00,Fake and get far apart. Use give and go.
5.00,Spread out and pivot. Give and go.
5.00,Spread out and fake. Give and go.
5.00,Spread out and fake. Vary pacing.
5.00,Spread out and fake.Vary pathways
5.00,Spread out and fake. Vary pacing.
6.00,Get far apart and fake. Use pivots and varying pathways.
6.00,Get far apart and fake. Use pivots and varying pathways.
6.00,Get far apart and fake. Use pivots and use various speeds.
6.00,Get far apart and fake. Use varying pathways and various speeds.
6.00,Get far apart and fake. Use pivots and vary pathways.
6.00,Fake and spread out. Use pivots and vary direction.
6.00,Fake and spread out. Use pivots and vary pacing.
6.00,Fake and spread out. Use varying pathways and various speeds.
6.00,Fake and spread out. Use pacing and vary direction
6.00,Fake and spread out. Use pacing and vary speed
6.00,Fake and spread out. Use pacing and vary pathways
6.00,Fake and spread out. Use pacing and pivots
6.00,"Fake and get far apart. Use give and go, and varying pathways"
6.00,"Fake and get far apart. Use give and go, and vary directions"
6.00,"Fake and get far apart. Use give and go, and vary speed"
6.00,"Fake and get far apart. Use give and go, and pivot"
6.00,Spread out and pivot. Give and go and vary direction
6.00,Spread out and fake. Give and go and vary speed.
6.00,Spread out and fake. Give and go and vary pacing.
6.00,Spread out and fake. Give and go and vary pathways
2.00,Maintain the same speed
1.00,
1.00,
1.00,
1.00,
1.00,
2.00,Stay together
2.00,Run
2.00,Move to the ball
2.00,Move to the ball
2.00,Close up space
2.00,Closes up space
2.00,Cut off pass
2.00,Open space is a place for me to move.
2.00,Open space is a place for me to move.
2.00,Close up space
2.00,Move together
2.00,Stay together
2.00,Stop
2.00,Stop
2.00,Don't move
3.00,Spread out
3.00,Vary pathways
3.00,Vary speed
3.00,Vary pacing
3.00,Vary direction
3.00,Get far apart
3.00,Get far apart and run
3.00,Get far apart and sprint
3.00,Get far apart 
3.00,Spread out
3.00,Get apart
3.00,Spread
3.00,Move apart
3.00,Move apart
3.00,Move apart
3.00,Give and go
3.00,Keep apart
3.00,Keep apart
3.00,Stay apart
3.00,Stay apart
4.00,Get far apart and fake.
4.00,Spread out and fake
4.00,Spread out and pivot
4.00,Spread out and give and go
4.00,Spread out and vary pathways
4.00,Spread out and vary speed
4.00,Spread out and vary pacing
4.00,Spread out and vary direction
4.00,Get far apart and fake.
4.00,Get far apart and pivot.
4.00,Get far apart and give and go
4.00,Get far apart and vary pathways.
4.00,Get far apart and vary speed.
4.00,Get far apart and vary pacing.
4.00,Get far apart and vary direction.
4.00,Move apart and fake.
4.00,Move apart and pivot
4.00,Move apart and vary pathways
4.00,Move apart and give and go
5.00,Get far apart and fake. Use pivot.
5.00,Get far apart and fake. Vary speeds.
5.00,Get far apart and fake. Use varying pathways.
5.00,Get far apart and fake. Use pivot.
5.00,Fake and spread out. Vary direction.
5.00,Fake and spread out. Use pivots.
5.00,Fake and spread out. Use various speeds.
5.00,Fake and spread out. Use pacing.
5.00,Fake and spread out. Vary speed
5.00,Fake and spread out. Vary pathways
5.00,Fake and spread out. Pivots
5.00,Fake and get far apart. Use give and go.
5.00,Fake and get far apart.Vary directions
5.00,Fake and get far apart. Vary speed
5.00,Fake and get far apart. Use give and go.
5.00,Spread out and pivot. Give and go.
5.00,Spread out and fake. Give and go.
5.00,Spread out and fake. Vary pacing.
5.00,Spread out and fake.Vary pathways
5.00,Spread out and fake. Vary pacing.
6.00,Get far apart and fake. Use pivots and varying pathways.
6.00,Get far apart and fake. Use pivots and varying pathways.
6.00,Get far apart and fake. Use pivots and use various speeds.
6.00,Get far apart and fake. Use varying pathways and various speeds.
6.00,Get far apart and fake. Use pivots and vary pathways.
6.00,Fake and spread out. Use pivots and vary direction.
6.00,Fake and spread out. Use pivots and vary pacing.
6.00,Fake and spread out. Use varying pathways and various speeds.
6.00,Fake and spread out. Use pacing and vary direction
6.00,Fake and spread out. Use pacing and vary speed
6.00,Fake and spread out. Use pacing and vary pathways
6.00,Fake and spread out. Use pacing and pivots
6.00,"Fake and get far apart. Use give and go, and varying pathways"
6.00,"Fake and get far apart. Use give and go, and vary directions"
6.00,"Fake and get far apart. Use give and go, and vary speed"
6.00,"Fake and get far apart. Use give and go, and pivot"
6.00,Spread out and pivot. Give and go and vary direction
6.00,Spread out and fake. Give and go and vary speed.
6.00,Spread out and fake. Give and go and vary pacing.
6.00,Spread out and fake. Give and go and vary pathways
